Results for a query: "zakon"

Results found in 51.25057101249695s

Freq.        Document                                  Snippet
-----------  ----------------------------------------- -----------------------------------------------------------
318          evem.gov.si.371.html                       ...Pogoji : · Zakon o semenskem materialu ... in prehrano · Zakon o kmetijstvu in ... Pogoji : · Zakon o kmetijstvu in ... Pogoji : · Zakon o semenskem materialu ... in prehrano · Zakon o zdravstvenem varstvu ... in prehrano · Zakon o kmetijstvu in ... Pogoji : · Zakon o kmetijstvu in ... Pogoji : · Zakon o semenskem materialu ... in tehnologijo · Zakon o semenskem materialu ... in prehrano · Zakon o zdravstvenem varstvu ... Pogoji : · Zakon o kmetijstvu in ... in prehrano · Zakon o zdravstvenem varstvu ... Pogoji : · Zakon o gozdovih : ... Pogoji : · Zakon o semenskem materialu ... in prehrano · Zakon o zdravstvenem varstvu ... Pogoji : · Zakon o živinoreji Pred ... in prehrano · Zakon o ohranjanju narave ... Pogoji : · Zakon o zdravstvenem varstvu ... in prehrano · Zakon o kmetijstvu Za ... Pogoji : · Zakon o živinoreji Zakon ... Zakon o živinoreji Zakon predpisuje naslednje poklice ... in prehrano · Zakon o kmetijstvu Za ... Pogoji : · Zakon o semenskem materialu ... Pogoji : · Zakon o semenskem materialu ... Pogoji : · Zakon o divjadi in ... Pogoji : · Zakon o gozdovih Za ... Pogoji : · Zakon o gozdovih Za ... in prehrano · Zakon o gozdovih Za ... in prehrano · Zakon o kmetijstvu Za ... Pogoji : · Zakon o morskem ribištvu ... Pogoji : · Zakon o sladkovodnem ribištvu ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarska ... Pogoji : · Zakon o rudarstvu Rudarsko ... ZRud ) . Zakon predpisuje naslednje poklice ... za infrastrukturo · Zakon o varstvu pred ... Pogoji : · Zakon o rudarstvu Rudarsko ... ZRud ) . Zakon predpisuje naslednje poklice ... in prehrano · Zakon o kmetijstvu , ... in prehrano · Zakon o vinu Pridelovalci ... in tehnologijo · Zakon o vinu Pridelovalci ... in tehnologijo · Zakon o vinu Tako ... in prehrano · Zakon o vodah Na ... in prehrano · Zakon o kmetijstvu , ... in prehrano · Zakon o kemikalijah Pravne ... in prehrano · Zakon o varstvu okolja ... in prehrano · Zakon o zdravstvenem varstvu ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... za zdravje · Zakon o nadzoru strateškega ... za zdravje · Zakon o varstvu pred ... Pogoji : · Zakon o kemikalijah Pravne ... za zdravje · Zakon o nadzoru strateškega ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Dovoljenje ... Pogoji : · Zakon o eksplozivih in ... in tehnologijo · Zakon o kemikalijah Dovoljenje ... Pogoji : · Zakon o eksplozivih in ... notranje zadeve · Zakon o kemikalijah Pravne ... za zdravje · Zakon o nadzoru strateškega ... Pogoji : · Zakon o zdravilih Proizvajalec ... in tehnologijo · Zakon o zdravilih Poslovni ... : · Obrtni zakon Če se dejavnost ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... Pogoji : · Zakon o kemikalijah Pravne ... in tehnologijo · Zakon o orožju Pravna ... notranje zadeve · Zakon o obrambi Kdor ... za obrambo · Zakon o nadzoru strateškega ... in tehnologijo · Zakon o kemikalijah Pravne ... in tehnologijo · Zakon o meroslovju Nekateri ... tehnologijo · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... Pogoji : · Zakon o medicinskih pripomočkih ... : · Obrtni zakon V primeru , ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... : · Energetski zakon Zakon predpisuje naslednje ... · Energetski zakon Zakon predpisuje naslednje poklice ... Pogoji : · Zakon o varstvu okolja ... Pogoji : · Zakon o varstvu okolja ... in prostor · Zakon o prevozu nevarnega ... Pogoji : · Zakon o varstvu okolja ... in prostor · Zakon o prevozu nevarnega ... in prostor · Zakon o varstvu okolja ... in prostor · Zakon o varstvu okolja ... in prostor · Zakon o varstvu okolja ... : · Obrtni zakon Če se dejavnost ... in tehnologijo · Zakon o graditvi objektov ... : · Obrtni zakon Če se dejavnost ... in tehnologijo · Zakon o graditvi objektov ... : · Obrtni zakon Če se dejavnost ... in tehnologijo · Zakon o graditvi objektov ... Pogoji : · Zakon o prevozih v ... za infrastrukturo · Zakon o cestah Izredni ... Pogoji : · Zakon o plovbi po ... Pogoji : · Zakon o plovbi po ... Pogoji : · Zakon o letalstvu Dejavnost ... Pogoji : · Zakon o letalstvu Dejavnost ... Pogoji : · Zakon o zdravstvenem varstvu ... Pogoji : · Zakon o zagotavljanju navigacijskih ... , če ta zakon oziroma predpisi Skupnosti ... Pogoji : · Zakon o izvajanju carinskih ... blaga , posredništvo Zakon v 6. členu ... Pogoji : · Zakon o poštnih storitvah ... Pogoji : · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... Pogoji : · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... Pogoji : · Zakon o gostinstvu Sobodajalec ... Pogoji : · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... Pogoji : · Zakon o organizaciji in ... in šport · Zakon o visokem šolstvu ... in šport · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... Pogoji : · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... tehnologijo · Obrtni zakon Za dejavnosti , ... Pogoji : · Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... tehnologijo · Obrtni zakon Za dejavnosti , ... Pogoji : · Zakon o elektronskih komunikacijah ... Pogoji : · Zakon o elektronskih komunikacijah ... Pogoji : · Zakon o elektronskih komunikacijah ... Pogoji : · Zakon o elektronskem poslovanju ... in šport · Zakon o elektronskem poslovanju ... Pogoji : · Zakon o elektronskem poslovanju ... Pogoji : · Zakon o elektronskem poslovanju ... Pogoji : · Zakon o Banki Slovenije ... Pogoji : · Zakon o bančništvu in ... o bančništvu in Zakon o plačilnih storitvah ... Pogoji : · Zakon o zavarovalništvu Član ... Pogoji : · Zakon o investicijskih skladih ... Pogoji : · Zakon o bančništvu Finančni ... Pogoji : · Zakon o potrošniških kreditih ... katere se ta zakon ne uporablja . ... za finance · Zakon o bančništvu Banke ... Pogoji : · Zakon o bančništvu in ... o bančništvu in Zakon o zavarovalništvu V ... Pogoji : · Zakon o pokojninskem in ... Pogoji : · Zakon o trgu finančnih ... preko spletaPogoji : Zakon o deviznem poslovanjuMenjalniške ... Pogoji : · Zakon o plačilnih storitvah ... Pogoji : · Zakon o zavarovalništvu Storitve ... - 227. člen Zakon o zavarovalništvu . ... Pogoji : · Zakon o zavarovalništvu Pooblaščeni ... Pogoji : · Zakon o investicijskih skladih ... za upravljanje ter Zakon o upravljavcih alternativnih ... ki jih določa zakon , ki ureja ... Pogoji : · Zakon o kmetijstvu in ... Pogoji : · Zakon o nepremičninskem posredovanju ... in prostor · Zakon o revidiranju Pooblaščeni ... : · Stanovanjski zakon Upravnik večstanovanjske hiše ... večstanovanjska stavba- Stanovanjski zakon . Vir : ... Pogoji : · Zakon o sodiščih in ... in če drug zakon ali uredba določa ... za pravosodje · Zakon o državnem tožilstvu ... jih določa ta zakon , ter opravlja ... za pravosodje · Zakon o alternativnem reševanju ... za pravosodje · Zakon o izvršbi in ... za pravosodje · Zakon o mednarodni zaščiti ... Pogoji : · Zakon o finančnem poslovanu ... za pravosodje · Zakon o javnih financah ... za finance · Zakon o revidiranju Revizijske ... Pogoji : · Zakon o varnosti in ... Pogoji : · Zakon o graditvi objektov ... za infrastrukturo · Zakon o gozdovih Za ... Pogoji : · Zakon o geodetski dejavnosti ... in prostor · Zakon o državnem geodetskem ... referenčnem sistemu Ta zakon določa državni geodetski ... Pogoji : · Zakon o graditvi objektov ... za infrastrukturo · Zakon o gozdovih Za ... Pogoji : · Zakon o varstvu okolja ... in prostor · Zakon o zasebnem varovanju ... za obrambo · Zakon o varnosti v ... za infrastrukturo · Zakon o varstvu pred ... za obrambo · Zakon o kmetijstvu in ... Pogoji : · Zakon o raziskovalni in ... in razvojni dejavnosti Zakon o raziskovalni in ... dejavnosti kot temeljni zakon predmetnega področja , ... Pogoji : · Zakon o raziskovalni in ... in razvojni dejavnosti Zakon o raziskovalni in ... dejavnosti kot temeljni zakon predmetnega področja , ... Pogoji : · Zakon o raziskovalni in ... in razvojni dejavnosti Zakon o raziskovalni in ... dejavnosti kot temeljni zakon predmetnega področja , ... Pogoji : · Zakon o obrambi Aerosnemanja ... Pogoji : · Zakon o uporabi slovenskega ... Pogoji : · Zakon o vinu Ocenjevanje ... in prehrano · Zakon o revidiranju Za ... Pogoji : · Zakon o veterinarstvu Veterinarske ... Pogoji : · Zakon o varstvu pred ... Pogoji : · Zakon o gozdovih Za ... in prehrano · Zakon o kmetijstvu Za ... Pogoji : · Zakon o varstvu pred ... Pogoji : · Zakon o zaposlovanju in ... enake možnosti · Zakon o urejanju trga ... Pogoji : · Zakon o urejanju trga ... Pogoji : · Zakon o urejanju trga ... Pogoji : · Zakon o spodbujanju razvoja ... Pogoji : · Zakon o spodbujanju razvoja ... Pogoji : · Zakon o spodbujanju razvoja ... Pogoji : · Zakon o zasebnem varovanju ... Pogoji : · Zakon o zasebnem varovanju ... Pogoji : · Zakon o detektivski dejavnosti ... : · Obrtni zakon Za dejavnosti , ... : · Obrtni zakon Za dejavnosti , ... : · Obrtni zakon Za dejavnosti , ... in prehrano · Zakon o varstvu okolja ... : · Obrtni zakon Za dejavnosti , ... : · Obrtni zakon Za dejavnosti , ... : · Obrtni zakon Za dejavnosti , ... Pogoji : · Zakon o vinu Pridelovalci ... Pogoji : · Zakon o socialnem varstvu ... Pogoji : · Zakon o občinskem redarstvu ... Pogoji : · Zakon o varstvu pred ... Pogoji : · Zakon o organizaciji in ... in šport · Zakon o vrtcih Fizična ... Pogoji : · Zakon o organizaciji in ... Pogoji : · Zakon o organizaciji in ... Pogoji : · Zakon o organizaciji in ... Pogoji : · Zakon o višjem strokovnem ... Pogoji : · Zakon o visokem šolstvu ... Pogoji : · Zakon o športu Opravljanje ... Pogoji : · Zakon o organizaciji in ... Pogoji : · Zakon o voznikih Z ... za infrastrukturo · Zakon o izobraževanju odraslih ... in šport · Zakon o kemikalijah Organizacijo ... za zdravje · Zakon o letalstvu Strokovno ... za infrastrukturo · Zakon o varstvu pred ... za obrambo · Zakon o varstvu pred ... za obrambo · Zakon o varnosti cestnega ... za infrastrukturo · Zakon o voznikih Velja ... za infrastrukturo · Zakon zdravstvenem varstvu rastlin ... in prehrano · Zakon o fitofarmacevtskih sredstvih ... in prehrano · Zakon o urejanju trga ... Pogoji : · Zakon o zdravstveni dejavnosti ... za zdravje · Zakon o zdravniški službi ... ki jih določa zakon . Odločbo o ... Pogoji : · Zakon o zdravstveni dejavnosti ... za zdravje · Zakon o zdravniški službi ... ki jih določa zakon . Odločbo o ... Pogoji : · Zakon o zdravstveni dejavnosti ... za zdravje · Zakon o zdravniški službi ... ki jih določa zakon . Odločbo o ... Pogoji : · Zakon o zdravstveni dejavnosti ... za zdravje · Zakon o zdravniški službi ... ki jih določa zakon . Odločbo o ... Pogoji : · Zakon o zdravilstvu Zdravilsko ... Pogoji : · Zakon o zdravstveni dejavnosti ... za zdravje · Zakon o zdravniški služb ... ki jih določa zakon . Odločbo o ... Pogoji : · Zakon o socialnem varstvu ... enake možnosti · Zakon o zdravstveni dejavnosti ... Pogoji : · Zakon o socialnem varstvu ... enake možnosti · Zakon o zdravstveni dejavnosti ... Pogoji : · Zakon o socialnem varstvu ... enake možnosti · Zakon o zdravstveni dejavnosti ... Pogoji : · Zakon o socialnem varstvu ... enake možnosti · Zakon o izvajanju rejniške ... Pogoji : · Zakon o zaposlitveni rehabilitaciji ... Pogoji : · Zakon o socialnem varstvu ... Pogoji : · Zakon o humanitarnih organizacijah ... Pogoji : · Zakon o socialnem varstvu ... Pogoji : · Zakon o uresničevanju javnega ... Pogoji : · Zakon o uresničevanju javnega ... Pogoji : · Zakon o uresničevanju javnega ... za kulturo · Zakon o medijih Novinar ... prehrano · Obrtni zakon Za dejavnosti , ... Pogoji : · Zakon o varstvu dokumentarnega ... Pogoji : · Zakon o varstvu kulturne ... Pogoji : · Zakon o varstvu kulturne ... Pogoji : · Zakon o ohranjanju narave ... Pogoji : · Zakon o igrah na ... Pogoji : · Zakon o igrah na ... Pogoji : · Zakon o športu Na ... in prehrano · Zakon o gorskih vodnikih ... in tehnologijo · Zakon o sladkovodnem ribištvu ... Pogoji : · Zakon o verski svobodi ... Pogoji : · Zakon o političnih strankah ... Pogoji : · Zakon o invalidskih organizacijah ... invalidskih organizacij . Zakon o invalidskih organizacijah ... Pogoji : · Zakon o varstvu podzemnih ... : · Obrtni zakon V primeru , ... : · Obrtni zakon Če se dejavnost ... 
13           evem.gov.si.227.html                       ...in pogoji : Zakon o sodiščih in ... in če drug zakon ali uredba določa ... Ministrstvo za pravosodje Zakon o državnem tožilstvu ... jih določa ta zakon , ter opravlja ... Ministrstvo za pravosodje Zakon o alternativnem reševanju ... Ministrstvo za pravosodje Zakon o izvršbi in ... Ministrstvo za pravosodje Zakon o mednarodni zaščiti ... RS Pravne podlage Zakon o sodiščih ( ... o sodnih tolmačih Zakon o kazenskem postopku ... ( ZKP ) Zakon o pravdnem postopku ... ( ZPP ) Zakon o alternativnem reševanju ... v programih sodišč Zakon o izvršbi in ... in opremo izvršitelja Zakon o mednarodni zaščiti ... 
11           evem.gov.si.224.html                       ...in pogoji : Zakon o varstvu okolja ... okolje in prostor Zakon o zasebnem varovanju ... veljavno licenco . Zakon o zasebnem varovanju ... Ministrstvo za obrambo Zakon o varnosti v ... Ministrstvo za infrastrukturo Zakon o varstvu pred ... Ministrstvo za obrambo Zakon o kmetijstvu in ... Pravne podlage Obrtni zakon ( ObrZ ) ... na obrtni način Zakon o varstvu okolja ... ( ZVO-1 ) Zakon o zasebnem varovanju ... preizkušanju hidrantnih omrežij Zakon o varstvu pred ... ( ZVPoz ) Zakon o varnosti cestnega ... 
9            e-prostor.gov.si.13.html                   ...SFRJ '' . Zakon o evidentiranju nepremičnin ... 73/2017 ) . Zakon o nadzoru države ... 35/2010 ) Ta zakon določa organizacijo in ... V 10. členu zakon določa , da ... V 12. členu zakon določa pristojnost Geodetske ... novega predpisa . Zakon o evidentiranju državne ... , 10.11.1975 ; Zakon o ratifikaciji Pogodbe ... mejnem območju ; Zakon o ratifikaciji Protokola ... – BATDM ; Zakon o ratifikaciji Pogodbe ... 
9            evem.gov.si.398.html                       ...nove delavce , Zakon o delovnih razmerjih ... za zaposlovanje . Zakon o spremembah in ... vrsto dela ? Zakon o delovnih razmerjih ... . Zgornje meje zakon ne določa . ... kot jih določa Zakon o gospodarskih družbah ... listine za katere zakon določa , da ... Zato , ker zakon predpisuje , da ... ni dopustna . Zakon o gospodarskih družbah ... dejavnosti pokriva Obrtni zakon ( ObrZ ) ... 
8            evem.gov.si.164.html                       ...in pogoji : Zakon o organizaciji in ... znanost in šport Zakon o visokem šolstvu ... znanost in šport Zakon o gostinstvu Gostinsko ... ga določa ta zakon , opravljajo kot ... razvoj in tehnologijo Zakon o omejevanju uporabe ... izdelkov Pravne podlage Zakon o organizaciji in ... ( ZOFVI ) Zakon o visokem šolstvu ... ( ZViS ) Zakon o gostinstvu ( ... 
6            evem.gov.si.46.html                        ...sestavine računa obravnava Zakon o davku na ... dodano vrednost , Zakon o davčnem potrjevanju ... Vodenje poslovnih knjig Zakon o gospodarskih družbah ... ? Pravna podlaga Zakon o gospodarskih družbah ... o gospodarskih družbah Zakon o davku na ... Mednarodni računovodski standardi Zakon o davčnem potrjevanju ... 
6            evem.gov.si.88.html                        ...varnost Pravne podlage Zakon o prispevkih za ... ( ZPSV ) Zakon o matični evidenci ... ( ZMEPIZ-1 ) Zakon o pokojninskem in ... ( ZPIZ-2 ) Zakon o zdravstvenem varstvu ... ( ZZVZZ ) Zakon o starševskem varstvu ... ( ZSDP-1 ) Zakon o urejanju trga ... 
6            evem.gov.si.140.html                       ...razvoj in tehnologijo Zakon o orožju Pravna ... za notranje zadeve Zakon o obrambi Kdor ... Ministrstvo za obrambo Zakon o nadzoru strateškega ... Pravne podlage Obrtni zakon ( ObrZ ) ... na obrtni način Zakon o orožju ( ... ( ZOro-1 ) Zakon o obrambi ( ... 
